"depvar","income","agehed","rooms","region","ic","oc","idx.household","idx.heating"
FALSE,7,50,4,"ncostl", 925.62,561.690, 20,ec
FALSE,7,50,4,"ncostl",1140.00,528.220, 20,er
TRUE,7,50,4,"ncostl", 899.87,213.840, 20,gc
FALSE,7,50,4,"ncostl",1214.20,186.600, 20,gr
FALSE,7,50,4,"ncostl",1155.30,251.160, 20,hp
TRUE,5,40,5,"scostl", 788.07,440.990, 21,ec
FALSE,5,40,5,"scostl", 799.52,286.290, 21,er
FALSE,5,40,5,"scostl", 657.54,176.150, 21,gc
FALSE,5,40,5,"scostl", 892.16,148.930, 21,gr
FALSE,5,40,5,"scostl",1083.10,203.870, 21,hp
FALSE,5,35,4,"scostl", 934.75,496.770, 22,ec
FALSE,5,35,4,"scostl",1009.50,414.790, 22,er
FALSE,5,35,4,"scostl", 761.29,199.840, 22,gc
TRUE,5,35,4,"scostl",1034.80,155.970, 22,gr
FALSE,5,35,4,"scostl",1192.10,233.740, 22,hp
FALSE,4,20,7,"scostl", 619.65,417.320, 23,ec
FALSE,4,20,7,"scostl", 880.97,362.240, 23,er
TRUE,4,20,7,"scostl", 575.07,109.940, 23,gc
FALSE,4,20,7,"scostl", 865.23,130.640, 23,gr
FALSE,4,20,7,"scostl", 879.44,196.120, 23,hp
FALSE,5,35,3,"scostl", 805.29,599.150, 24,ec
FALSE,5,35,3,"scostl", 806.59,389.600, 24,er
FALSE,5,35,3,"scostl", 830.08,188.690, 24,gc
FALSE,5,35,3,"scostl", 920.85,146.410, 24,gr
TRUE,5,35,3,"scostl",1162.80,220.510, 24,hp
FALSE,4,45,3,"ncostl", 943.05,577.200, 25,ec
FALSE,4,45,3,"ncostl",1130.50,510.660, 25,er
TRUE,4,45,3,"ncostl", 974.55,206.990, 25,gc
FALSE,4,45,3,"ncostl",1047.20,174.960, 25,gr
FALSE,4,45,3,"ncostl",1196.80,217.190, 25,hp
FALSE,2,30,7,"scostl", 882.55,527.880, 26,ec
FALSE,2,30,7,"scostl",1187.90,455.800, 26,er
FALSE,2,30,7,"scostl", 737.47,207.360, 26,gc
TRUE,2,30,7,"scostl",1042.70,145.480, 26,gr
FALSE,2,30,7,"scostl",1055.00,265.620, 26,hp
FALSE,4,35,7,"scostl", 869.65,486.990, 27,ec
FALSE,4,35,7,"scostl", 942.49,427.110, 27,er
TRUE,4,35,7,"scostl", 803.75,172.260, 27,gc
FALSE,4,35,7,"scostl", 921.48,162.250, 27,gr
FALSE,4,35,7,"scostl", 962.02,205.720, 27,hp
TRUE,6,60,4,"scostl", 991.82,584.830, 28,ec
FALSE,6,60,4,"scostl", 913.32,473.100, 28,er
FALSE,6,60,4,"scostl", 872.17,185.300, 28,gc
FALSE,6,60,4,"scostl", 927.82,182.660, 28,gr
FALSE,6,60,4,"scostl",1117.60,238.280, 28,hp
TRUE,4,25,3,"ncostl", 724.01,443.820, 29,ec
FALSE,4,25,3,"ncostl", 993.25,440.210, 29,er
FALSE,4,25,3,"ncostl", 690.95,147.890, 29,gc
FALSE,4,25,3,"ncostl", 587.58,135.810, 29,gr
FALSE,4,25,3,"ncostl", 981.73,191.440, 29,hp
FALSE,7,55,7,"ncostl", 805.08,540.320, 30,ec
FALSE,7,55,7,"ncostl", 941.41,436.330, 30,er
TRUE,7,55,7,"ncostl", 720.41,174.760, 30,gc
FALSE,7,55,7,"ncostl", 969.83,164.620, 30,gr
FALSE,7,55,7,"ncostl",1159.40,212.740, 30,hp
FALSE,4,50,2,"scostl", 838.01,519.270, 31,ec
FALSE,4,50,2,"scostl",1144.40,496.690, 31,er
TRUE,4,50,2,"scostl", 677.05,197.230, 31,gc
FALSE,4,50,2,"scostl", 918.54,156.810, 31,gr
FALSE,4,50,2,"scostl", 988.94,239.640, 31,hp
FALSE,5,45,7,"ncostl", 671.78,422.320, 32,ec
FALSE,5,45,7,"ncostl", 976.01,412.460, 32,er
FALSE,5,45,7,"ncostl", 665.07,150.210, 32,gc
TRUE,5,45,7,"ncostl", 876.29,146.170, 32,gr
FALSE,5,45,7,"ncostl", 723.81,214.030, 32,hp
FALSE,3,65,4,"mountn",1030.30,600.580, 33,ec
FALSE,3,65,4,"mountn",1153.20,550.220, 33,er
FALSE,3,65,4,"mountn", 974.53,186.480, 33,gc
TRUE,3,65,4,"mountn",1264.30,194.230, 33,gr
FALSE,3,65,4,"mountn",1271.90,248.470, 33,hp
FALSE,5,60,5,"scostl", 785.95,535.480, 34,ec
FALSE,5,60,5,"scostl", 963.54,472.710, 34,er
TRUE,5,60,5,"scostl", 714.53,201.480, 34,gc
FALSE,5,60,5,"scostl", 956.83,170.790, 34,gr
FALSE,5,60,5,"scostl",1091.70,235.780, 34,hp
FALSE,6,60,4,"scostl", 689.10,419.600, 35,ec
FALSE,6,60,4,"scostl", 876.97,365.160, 35,er
TRUE,6,60,4,"scostl", 530.05,157.240, 35,gc
FALSE,6,60,4,"scostl", 757.67,130.440, 35,gr
FALSE,6,60,4,"scostl", 822.90,149.200, 35,hp
FALSE,4,35,3,"scostl", 918.92,472.240, 36,ec
FALSE,4,35,3,"scostl", 897.80,421.590, 36,er
TRUE,4,35,3,"scostl", 687.34,165.150, 36,gc
FALSE,4,35,3,"scostl", 776.77,151.810, 36,gr
FALSE,4,35,3,"scostl", 898.21,162.020, 36,hp
FALSE,7,30,5,"mountn", 618.30,447.700, 37,ec
FALSE,7,30,5,"mountn", 819.38,342.360, 37,er
FALSE,7,30,5,"mountn", 635.20,148.940, 37,gc
TRUE,7,30,5,"mountn", 825.44,129.250, 37,gr
FALSE,7,30,5,"mountn", 942.03,166.670, 37,hp
FALSE,2,60,2,"scostl", 891.58,493.190, 38,ec
FALSE,2,60,2,"scostl",1070.10,436.250, 38,er
TRUE,2,60,2,"scostl", 651.67,171.330, 38,gc
FALSE,2,60,2,"scostl", 847.01,158.730, 38,gr
FALSE,2,60,2,"scostl",1087.40,234.780, 38,hp
FALSE,6,45,2,"valley", 899.00,415.940, 39,ec
FALSE,6,45,2,"valley",1060.20,473.650, 39,er
TRUE,6,45,2,"valley", 685.47,171.500, 39,gc
FALSE,6,45,2,"valley", 912.23,145.070, 39,gr
FALSE,6,45,2,"valley",1109.50,233.630, 39,hp
FALSE,2,65,4,"scostl", 776.67,491.100, 40,ec
TRUE,2,65,4,"scostl",1054.00,432.580, 40,er
FALSE,2,65,4,"scostl", 790.89,185.910, 40,gc
FALSE,2,65,4,"scostl",1046.40,166.150, 40,gr
FALSE,2,65,4,"scostl",1234.60,206.500, 40,hp
FALSE,7,50,5,"scostl", 788.79,527.180, 41,ec
FALSE,7,50,5,"scostl", 833.05,400.460, 41,er
TRUE,7,50,5,"scostl", 785.89,180.300, 41,gc
FALSE,7,50,5,"scostl",1008.60,143.570, 41,gr
FALSE,7,50,5,"scostl", 752.91,247.120, 41,hp
FALSE,2,55,2,"mountn", 891.47,590.570, 42,ec
FALSE,2,55,2,"mountn",1148.30,580.730, 42,er
FALSE,2,55,2,"mountn", 943.98,237.110, 42,gc
TRUE,2,55,2,"mountn",1086.50,170.950, 42,gr
FALSE,2,55,2,"mountn",1401.20,254.610, 42,hp
FALSE,4,45,2,"ncostl", 828.73,432.420, 43,ec
FALSE,4,45,2,"ncostl", 938.83,399.790, 43,er
TRUE,4,45,2,"ncostl", 579.96,152.090, 43,gc
FALSE,4,45,2,"ncostl", 834.61,149.710, 43,gr
FALSE,4,45,2,"ncostl",1025.70,189.100, 43,hp
FALSE,5,30,5,"scostl", 874.67,434.610, 44,ec
FALSE,5,30,5,"scostl", 966.34,438.070, 44,er
TRUE,5,30,5,"scostl", 858.84,188.060, 44,gc
FALSE,5,30,5,"scostl", 937.65,159.640, 44,gr
FALSE,5,30,5,"scostl",1138.10,230.640, 44,hp
FALSE,7,45,4,"valley", 796.43,455.080, 45,ec
FALSE,7,45,4,"valley",1054.40,409.720, 45,er
TRUE,7,45,4,"valley", 689.48,149.060, 45,gc
FALSE,7,45,4,"valley", 961.55,156.240, 45,gr
FALSE,7,45,4,"valley", 976.77,196.880, 45,hp
FALSE,6,55,5,"scostl", 938.58,486.870, 46,ec
FALSE,6,55,5,"scostl",1098.10,466.190, 46,er
TRUE,6,55,5,"scostl", 937.94,183.580, 46,gc
FALSE,6,55,5,"scostl", 962.07,162.360, 46,gr
FALSE,6,55,5,"scostl",1124.50,232.350, 46,hp
FALSE,4,50,4,"ncostl", 588.55,386.330, 47,ec
TRUE,4,50,4,"ncostl", 810.51,296.410, 47,er
FALSE,4,50,4,"ncostl", 549.58,155.710, 47,gc
FALSE,4,50,4,"ncostl", 761.69,120.480, 47,gr
FALSE,4,50,4,"ncostl", 728.21,120.970, 47,hp
FALSE,6,35,3,"ncostl", 825.11,471.270, 48,ec
FALSE,6,35,3,"ncostl",1143.90,465.600, 48,er
TRUE,6,35,3,"ncostl", 806.58,201.690, 48,gc
FALSE,6,35,3,"ncostl",1116.20,168.690, 48,gr
FALSE,6,35,3,"ncostl",1209.90,229.500, 48,hp
FALSE,7,55,3,"scostl", 828.27,546.900, 49,ec
FALSE,7,55,3,"scostl", 929.43,485.040, 49,er
TRUE,7,55,3,"scostl", 773.16,204.120, 49,gc
FALSE,7,55,3,"scostl",1016.40,187.770, 49,gr
FALSE,7,55,3,"scostl",1249.90,210.020, 49,hp
FALSE,5,25,2,"valley", 733.40,470.230, 50,ec
FALSE,5,25,2,"valley",1012.70,511.620, 50,er
TRUE,5,25,2,"valley", 814.50,189.520, 50,gc
FALSE,5,25,2,"valley", 935.43,180.210, 50,gr
FALSE,5,25,2,"valley", 990.96,228.670, 50,hp
FALSE,5,20,7,"ncostl", 754.26,417.820, 51,ec
FALSE,5,20,7,"ncostl", 994.12,431.460, 51,er
TRUE,5,20,7,"ncostl", 785.99,151.780, 51,gc
FALSE,5,20,7,"ncostl", 940.63,155.840, 51,gr
FALSE,5,20,7,"ncostl", 943.08,212.790, 51,hp
FALSE,2,30,3,"scostl", 836.85,519.740, 52,ec
FALSE,2,30,3,"scostl",1026.50,372.300, 52,er
TRUE,2,30,3,"scostl", 955.85,195.400, 52,gc
FALSE,2,30,3,"scostl", 944.77,163.780, 52,gr
FALSE,2,30,3,"scostl", 979.49,226.160, 52,hp
FALSE,6,30,6,"scostl", 963.76,559.930, 53,ec
FALSE,6,30,6,"scostl",1278.30,566.550, 53,er
TRUE,6,30,6,"scostl", 879.47,203.060, 53,gc
FALSE,6,30,6,"scostl",1208.50,189.060, 53,gr
FALSE,6,30,6,"scostl",1188.80,253.220, 53,hp
FALSE,6,45,7,"mountn", 751.67,549.810, 54,ec
FALSE,6,45,7,"mountn", 906.09,351.460, 54,er
TRUE,6,45,7,"mountn", 793.47,163.620, 54,gc
FALSE,6,45,7,"mountn", 859.34,160.470, 54,gr
FALSE,6,45,7,"mountn", 923.25,194.170, 54,hp
FALSE,5,25,3,"valley",1021.70,539.790, 55,ec
FALSE,5,25,3,"valley",1162.70,487.350, 55,er
FALSE,5,25,3,"valley", 793.14,184.050, 55,gc
FALSE,5,25,3,"valley", 961.00,170.220, 55,gr
TRUE,5,25,3,"valley",1203.30,249.010, 55,hp
FALSE,6,50,3,"mountn", 843.18,439.700, 56,ec
FALSE,6,50,3,"mountn", 884.68,376.640, 56,er
FALSE,6,50,3,"mountn", 708.19,142.820, 56,gc
TRUE,6,50,3,"mountn", 774.01,139.450, 56,gr
FALSE,6,50,3,"mountn",1106.20,169.360, 56,hp
FALSE,6,30,6,"valley", 625.26,416.160, 57,ec
FALSE,6,30,6,"valley", 736.03,366.490, 57,er
TRUE,6,30,6,"valley", 620.45,166.470, 57,gc
FALSE,6,30,6,"valley", 737.17,145.170, 57,gr
FALSE,6,30,6,"valley",1119.40,225.750, 57,hp
FALSE,3,25,4,"scostl", 970.49,594.040, 58,ec
FALSE,3,25,4,"scostl",1330.10,594.010, 58,er
FALSE,3,25,4,"scostl",1029.10,232.620, 58,gc
FALSE,3,25,4,"scostl",1292.00,191.890, 58,gr
TRUE,3,25,4,"scostl",1265.40,289.060, 58,hp
FALSE,6,35,4,"scostl", 727.13,395.200, 59,ec
FALSE,6,35,4,"scostl", 878.61,399.870, 59,er
TRUE,6,35,4,"scostl", 749.66,165.910, 59,gc
FALSE,6,35,4,"scostl", 869.27,145.120, 59,gr
FALSE,6,35,4,"scostl", 905.96,191.880, 59,hp
FALSE,6,45,4,"scostl", 762.51,437.100, 60,ec
FALSE,6,45,4,"scostl", 996.61,482.210, 60,er
TRUE,6,45,4,"scostl", 736.20,177.040, 60,gc
FALSE,6,45,4,"scostl", 922.14,165.500, 60,gr
FALSE,6,45,4,"scostl",1053.50,235.230, 60,hp
FALSE,7,20,2,"scostl", 747.32,458.550, 61,ec
FALSE,7,20,2,"scostl",1130.90,340.950, 61,er
TRUE,7,20,2,"scostl", 680.33,154.820, 61,gc
FALSE,7,20,2,"scostl", 860.08,134.910, 61,gr
FALSE,7,20,2,"scostl", 848.91,171.980, 61,hp
FALSE,7,25,2,"ncostl", 608.57,394.540, 62,ec
FALSE,7,25,2,"ncostl", 810.97,407.610, 62,er
TRUE,7,25,2,"ncostl", 667.29,157.710, 62,gc
FALSE,7,25,2,"ncostl", 587.15,138.700, 62,gr
FALSE,7,25,2,"ncostl", 935.99,187.030, 62,hp
FALSE,5,20,6,"ncostl", 937.96,555.180, 63,ec
FALSE,5,20,6,"ncostl",1100.50,426.750, 63,er
TRUE,5,20,6,"ncostl", 882.05,177.270, 63,gc
FALSE,5,20,6,"ncostl",1076.10,164.380, 63,gr
FALSE,5,20,6,"ncostl",1113.60,226.880, 63,hp
FALSE,6,65,2,"ncostl", 912.46,487.840, 64,ec
FALSE,6,65,2,"ncostl", 950.35,465.000, 64,er
TRUE,6,65,2,"ncostl", 787.53,186.340, 64,gc
FALSE,6,65,2,"ncostl",1038.30,165.570, 64,gr
FALSE,6,65,2,"ncostl",1167.50,223.020, 64,hp
FALSE,2,35,4,"ncostl", 805.94,523.390, 65,ec
FALSE,2,35,4,"ncostl",1304.00,462.510, 65,er
FALSE,2,35,4,"ncostl", 859.79,192.970, 65,gc
TRUE,2,35,4,"ncostl",1148.00,181.050, 65,gr
FALSE,2,35,4,"ncostl",1121.90,226.530, 65,hp
FALSE,2,30,5,"valley", 790.89,481.810, 66,ec
FALSE,2,30,5,"valley",1115.90,421.190, 66,er
TRUE,2,30,5,"valley", 790.11,191.430, 66,gc
FALSE,2,30,5,"valley", 838.37,164.080, 66,gr
FALSE,2,30,5,"valley",1099.30,219.550, 66,hp
FALSE,5,35,5,"valley", 743.31,408.740, 67,ec
FALSE,5,35,5,"valley", 856.94,393.270, 67,er
TRUE,5,35,5,"valley", 787.87,174.640, 67,gc
FALSE,5,35,5,"valley", 793.57,160.720, 67,gr
FALSE,5,35,5,"valley", 891.41,209.990, 67,hp
FALSE,2,50,7,"scostl", 702.50,394.830, 68,ec
FALSE,2,50,7,"scostl", 752.47,276.600, 68,er
TRUE,2,50,7,"scostl", 623.39,150.240, 68,gc
FALSE,2,50,7,"scostl", 663.42,113.030, 68,gr
FALSE,2,50,7,"scostl", 906.87,161.340, 68,hp
FALSE,3,35,6,"valley", 901.40,581.120, 69,ec
FALSE,3,35,6,"valley",1197.40,511.400, 69,er
FALSE,3,35,6,"valley", 905.25,235.920, 69,gc
TRUE,3,35,6,"valley",1111.10,185.770, 69,gr
FALSE,3,35,6,"valley",1182.80,247.480, 69,hp
FALSE,4,60,6,"ncostl", 971.55,488.990, 70,ec
FALSE,4,60,6,"ncostl",1043.90,444.210, 70,er
TRUE,4,60,6,"ncostl", 784.09,155.010, 70,gc
FALSE,4,60,6,"ncostl", 968.43,149.540, 70,gr
FALSE,4,60,6,"ncostl",1219.90,218.310, 70,hp
FALSE,3,55,2,"scostl", 612.24,381.860, 71,ec
FALSE,3,55,2,"scostl", 795.83,340.060, 71,er
FALSE,3,55,2,"scostl", 677.80,106.550, 71,gc
TRUE,3,55,2,"scostl", 798.21,111.860, 71,gr
FALSE,3,55,2,"scostl", 911.19,168.310, 71,hp
FALSE,7,20,4,"valley", 780.07,483.150, 72,ec
FALSE,7,20,4,"valley", 946.68,408.110, 72,er
TRUE,7,20,4,"valley", 787.07,207.620, 72,gc
FALSE,7,20,4,"valley", 916.50,148.840, 72,gr
FALSE,7,20,4,"valley",1018.70,194.600, 72,hp
FALSE,4,45,2,"scostl", 776.18,404.160, 73,ec
TRUE,4,45,2,"scostl", 824.73,410.780, 73,er
FALSE,4,45,2,"scostl", 717.42,171.830, 73,gc
FALSE,4,45,2,"scostl", 784.22,133.720, 73,gr
FALSE,4,45,2,"scostl", 797.20,198.310, 73,hp
FALSE,5,65,3,"ncostl", 804.51,436.560, 74,ec
FALSE,5,65,3,"ncostl", 831.37,466.910, 74,er
FALSE,5,65,3,"ncostl", 720.32,154.450, 74,gc
FALSE,5,65,3,"ncostl", 800.60,148.410, 74,gr
TRUE,5,65,3,"ncostl",1000.60,233.450, 74,hp
FALSE,3,30,5,"ncostl", 683.38,366.140, 75,ec
TRUE,3,30,5,"ncostl", 865.94,344.240, 75,er
FALSE,3,30,5,"ncostl", 635.33,136.590, 75,gc
FALSE,3,30,5,"ncostl", 739.00,104.560, 75,gr
FALSE,3,30,5,"ncostl", 943.68,154.900, 75,hp
FALSE,2,60,3,"ncostl", 994.11,540.440, 76,ec
FALSE,2,60,3,"ncostl",1081.80,412.440, 76,er
TRUE,2,60,3,"ncostl", 823.32,161.570, 76,gc
FALSE,2,60,3,"ncostl", 950.89,171.330, 76,gr
FALSE,2,60,3,"ncostl",1003.90,246.850, 76,hp
FALSE,6,40,7,"scostl", 696.87,390.060, 77,ec
FALSE,6,40,7,"scostl", 916.09,361.000, 77,er
TRUE,6,40,7,"scostl", 803.38,144.710, 77,gc
FALSE,6,40,7,"scostl", 824.38,146.180, 77,gr
FALSE,6,40,7,"scostl", 915.55,210.770, 77,hp
FALSE,5,55,6,"scostl", 680.51,478.640, 78,ec
FALSE,5,55,6,"scostl",1191.80,365.710, 78,er
TRUE,5,55,6,"scostl", 833.51,146.500, 78,gc
FALSE,5,55,6,"scostl", 821.15,150.420, 78,gr
FALSE,5,55,6,"scostl",1087.20,185.030, 78,hp
FALSE,5,35,4,"scostl", 830.42,540.670, 79,ec
TRUE,5,35,4,"scostl",1059.30,350.140, 79,er
FALSE,5,35,4,"scostl", 797.86,176.990, 79,gc
FALSE,5,35,4,"scostl", 912.69,149.460, 79,gr
FALSE,5,35,4,"scostl",1072.30,233.350, 79,hp
FALSE,2,45,2,"ncostl", 829.45,483.750, 80,ec
FALSE,2,45,2,"ncostl",1159.60,419.310, 80,er
FALSE,2,45,2,"ncostl", 849.92,186.080, 80,gc
TRUE,2,45,2,"ncostl", 960.28,154.220, 80,gr
FALSE,2,45,2,"ncostl",1269.80,243.390, 80,hp
FALSE,4,65,3,"ncostl", 721.85,451.020, 81,ec
FALSE,4,65,3,"ncostl", 921.97,393.070, 81,er
TRUE,4,65,3,"ncostl", 781.19,145.090, 81,gc
FALSE,4,65,3,"ncostl", 700.08,139.210, 81,gr
FALSE,4,65,3,"ncostl", 811.22,215.630, 81,hp
FALSE,6,45,4,"valley", 602.71,432.280, 82,ec
FALSE,6,45,4,"valley", 790.37,294.280, 82,er
TRUE,6,45,4,"valley", 557.31,120.960, 82,gc
FALSE,6,45,4,"valley", 599.31,108.320, 82,gr
FALSE,6,45,4,"valley", 730.41,125.560, 82,hp
FALSE,2,25,6,"scostl", 845.69,471.200, 83,ec
FALSE,2,25,6,"scostl", 866.67,429.950, 83,er
TRUE,2,25,6,"scostl", 716.35,174.140, 83,gc
FALSE,2,25,6,"scostl", 787.85,145.180, 83,gr
FALSE,2,25,6,"scostl", 992.42,172.240, 83,hp
FALSE,7,25,2,"ncostl", 798.54,490.300, 84,ec
FALSE,7,25,2,"ncostl", 948.05,474.720, 84,er
FALSE,7,25,2,"ncostl", 836.62,194.540, 84,gc
FALSE,7,25,2,"ncostl", 843.15,160.700, 84,gr
TRUE,7,25,2,"ncostl",1000.60,200.570, 84,hp
FALSE,2,55,5,"ncostl", 757.17,464.560, 85,ec
FALSE,2,55,5,"ncostl", 903.52,424.560, 85,er
FALSE,2,55,5,"ncostl", 710.34,137.900, 85,gc
TRUE,2,55,5,"ncostl", 740.48,141.860, 85,gr
FALSE,2,55,5,"ncostl", 804.28,175.820, 85,hp
FALSE,5,20,4,"scostl", 800.49,491.370, 86,ec
FALSE,5,20,4,"scostl",1051.10,447.050, 86,er
TRUE,5,20,4,"scostl", 804.94,174.560, 86,gc
FALSE,5,20,4,"scostl", 867.24,152.860, 86,gr
FALSE,5,20,4,"scostl",1160.10,246.300, 86,hp
FALSE,6,35,4,"ncostl", 890.49,442.270, 87,ec
FALSE,6,35,4,"ncostl", 923.99,387.070, 87,er
TRUE,6,35,4,"ncostl", 780.72,183.720, 87,gc
FALSE,6,35,4,"ncostl", 837.99,173.930, 87,gr
FALSE,6,35,4,"ncostl",1123.80,253.970, 87,hp
FALSE,5,65,3,"scostl", 850.44,413.780, 88,ec
FALSE,5,65,3,"scostl", 990.48,398.140, 88,er
TRUE,5,65,3,"scostl", 659.43,143.170, 88,gc
FALSE,5,65,3,"scostl", 881.69,138.190, 88,gr
FALSE,5,65,3,"scostl",1073.60,214.690, 88,hp
FALSE,6,20,2,"ncostl", 834.43,420.260, 89,ec
FALSE,6,20,2,"ncostl", 845.59,393.680, 89,er
TRUE,6,20,2,"ncostl", 717.84,151.820, 89,gc
FALSE,6,20,2,"ncostl", 888.67,152.330, 89,gr
FALSE,6,20,2,"ncostl", 908.34,195.720, 89,hp
FALSE,7,40,4,"scostl", 573.53,411.400, 90,ec
FALSE,7,40,4,"scostl", 670.05,383.810, 90,er
TRUE,7,40,4,"scostl", 505.93,125.040, 90,gc
FALSE,7,40,4,"scostl", 733.97,110.920, 90,gr
FALSE,7,40,4,"scostl", 949.44,158.380, 90,hp
